Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
39.0,No,Travel_Frequently,1218,Research & Development,1,1,Life Sciences,1,531,2,52,3,5,Manager,3,Divorced,19197,8213,1,Y,Yes,14,3,3,80,1,21,3,3,21,8,1,6
56.0,No,Travel_Frequently,906,Sales,6,3,Life Sciences,1,532,3,86,4,4,Sales Executive,1,Married,13212,18256,9,Y,No,11,3,4,80,3,36,0,2,7,7,7,7
30.0,No,Travel_Rarely,1082,Sales,12,3,Technical Degree,1,533,2,83,3,2,Sales Executive,3,Single,6577,19558,0,Y,No,11,3,2,80,0,6,6,3,5,4,4,4
41.0,No,Travel_Rarely,645,Sales,1,3,Marketing,1,534,2,49,4,3,Sales Executive,1,Married,8392,19566,1,Y,No,16,3,3,80,1,10,2,3,10,7,0,7
28.0,No,Travel_Rarely,1300,Research & Development,17,2,Medical,1,536,3,79,3,2,Laboratory Technician,1,Divorced,4558,13535,1,Y,No,12,3,4,80,1,10,2,3,10,0,1,8
25.0,Yes,Travel_Rarely,688,Research & Development,3,3,Medical,1,538,1,91,3,1,Laboratory Technician,1,Married,4031,9396,5,Y,No,13,3,3,80,1,6,5,3,2,2,0,2
52.0,No,Travel_Rarely,319,Research & Development,3,3,Medical,1,543,4,39,2,3,Manufacturing Director,3,Married,7969,19609,2,Y,Yes,14,3,3,80,0,28,4,3,5,4,0,4
45.0,No,Travel_Rarely,192,Research & Development,10,2,Life Sciences,1,544,1,69,3,1,Research Scientist,4,Married,2654,9655,3,Y,No,21,4,4,80,2,8,3,2,2,2,0,2
52.0,No,Travel_Rarely,1490,Research & Development,4,2,Life Sciences,1,546,4,30,3,4,Manager,4,Married,16555,10310,2,Y,No,13,3,4,80,0,31,2,1,5,2,1,4
42.0,No,Travel_Frequently,532,Research & Development,29,2,Life Sciences,1,547,1,92,3,2,Research Scientist,3,Divorced,4556,12932,2,Y,No,11,3,2,80,1,19,3,3,5,4,0,2
