Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
46.0,No,Travel_Rarely,430,Research & Development,1,4,Medical,1,1069,4,40,3,5,Research Director,4,Divorced,19627,21445,9,Y,No,17,3,4,80,2,23,0,3,2,2,2,2
54.0,No,Travel_Rarely,1082,Sales,2,4,Life Sciences,1,1070,3,41,2,3,Sales Executive,3,Married,10686,8392,6,Y,No,11,3,2,80,1,13,4,3,9,4,7,0
56.0,No,Travel_Frequently,1240,Research & Development,9,3,Medical,1,1071,1,63,3,1,Research Scientist,3,Married,2942,12154,2,Y,No,19,3,2,80,1,18,4,3,5,4,0,3
36.0,No,Travel_Rarely,796,Research & Development,12,5,Medical,1,1073,4,51,2,3,Manufacturing Director,4,Single,8858,15669,0,Y,No,11,3,2,80,0,15,2,2,14,8,7,8
55.0,No,Non-Travel,444,Research & Development,2,1,Medical,1,1074,3,40,2,4,Manager,1,Single,16756,17323,7,Y,No,15,3,2,80,0,31,3,4,9,7,6,2
43.0,No,Travel_Rarely,415,Sales,25,3,Medical,1,1076,3,79,2,3,Sales Executive,4,Divorced,10798,5268,5,Y,No,13,3,3,80,1,18,5,3,1,0,0,0
20.0,Yes,Travel_Frequently,769,Sales,9,3,Marketing,1,1077,4,54,3,1,Sales Representative,4,Single,2323,17205,1,Y,Yes,14,3,2,80,0,2,3,3,2,2,0,2
21.0,Yes,Travel_Rarely,1334,Research & Development,10,3,Life Sciences,1,1079,3,36,2,1,Laboratory Technician,1,Single,1416,17258,1,Y,No,13,3,1,80,0,1,6,2,1,0,1,0
46.0,No,Travel_Rarely,1003,Research & Development,8,4,Life Sciences,1,1080,4,74,2,2,Research Scientist,1,Divorced,4615,21029,8,Y,Yes,23,4,1,80,3,19,2,3,16,13,1,7
51.0,Yes,Travel_Rarely,1323,Research & Development,4,4,Life Sciences,1,1081,1,34,3,1,Research Scientist,3,Married,2461,10332,9,Y,Yes,12,3,3,80,3,18,2,4,10,0,2,7
