Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
40,Yes,Travel_Rarely,676,Research & Development,9,4,Life Sciences,1,1534,4,Male,86,3,1,Laboratory Technician,Single,2018,21831,3,Y,No,14,3,2,80,0,15,3,1,5,4,1,0
31,No,Travel_Rarely,326,Sales,8,2,Life Sciences,1,1453,1,child,31,3,3,Sales Executive,Divorced,10793,8386,1,Y,No,18,3,1,80,1,13,5,3,13,7,9,9
33,No,Travel_Rarely,1075,Human Resources,3,2,Human Resources,1,910,4,Male,57,3,1,Human Resources,Divorced,2277,22650,3,Y,Yes,11,3,3,80,1,7,4,4,4,3,0,3
46,No,Travel_Rarely,1450,Research & Development,15,2,Life Sciences,1,1217,4,child,52,3,5,Research Director,Married,19081,10849,5,Y,No,11,3,1,80,1,25,2,3,4,2,0,3
40,No,Travel_Rarely,555,Research & Development,2,3,Medical,1,521,2,Female,78,2,2,Laboratory Technician,Married,3448,13436,6,Y,No,22,4,2,80,1,20,3,3,1,0,0,0
34,No,Travel_Rarely,182,Research & Development,1,4,Life Sciences,1,797,2,Female,72,4,1,Research Scientist,Single,3280,13551,2,Y,No,16,3,3,80,0,10,2,3,4,2,1,3
49,No,Travel_Rarely,1313,Sales,11,4,Marketing,1,1757,4,Female,80,3,2,Sales Executive,Single,4507,8191,3,Y,No,12,3,3,80,0,8,1,4,5,1,0,4
25,No,Travel_Rarely,266,Research & Development,1,3,Medical,1,1303,4,Female,40,3,1,Research Scientist,Single,2096,18830,1,Y,No,18,3,4,80,0,2,3,2,2,2,2,1
24,No,Travel_Frequently,535,Sales,24,3,Medical,1,632,4,Male,38,3,1,Sales Representative,Married,2400,5530,0,Y,No,13,3,3,80,2,3,3,3,2,2,2,1
31,Yes,Travel_Rarely,359,Human Resources,18,5,Human Resources,1,1842,4,Male,89,4,1,Human Resources,Married,2956,21495,0,Y,No,17,3,3,80,0,2,4,3,1,0,0,0
34,No,Travel_Rarely,507,Sales,15,2,Medical,1,1356,3,Female,66,3,2,Sales Executive,Single,6125,23553,1,Y,No,12,3,4,80,0,10,6,4,10,8,9,6
28,No,Travel_Rarely,1169,Human Resources,8,2,Medical,1,869,2,Male,63,2,1,Human Resources,Divorced,4936,23965,1,Y,No,13,3,4,80,1,6,6,3,5,1,0,4
38,No,Travel_Rarely,1321,Sales,1,4,Life Sciences,1,1995,4,Male,86,3,2,Sales Executive,Married,4440,7636,0,Y,No,15,3,1,80,2,16,3,3,15,13,5,8
34,No,Travel_Rarely,665,Research & Development,6,4,Other,1,138,1,Female,41,3,2,Research Scientist,Single,4809,12482,1,Y,No,14,3,3,80,0,16,3,3,16,13,2,10
41,No,Travel_Rarely,334,Sales,2,4,Life Sciences,1,410,4,Male,88,3,4,Manager,Single,16015,15896,1,Y,No,19,3,2,80,0,22,2,3,22,10,0,4
22,Yes,Travel_Rarely,391,Research & Development,7,1,Life Sciences,1,1878,4,Male,75,3,1,Research Scientist,Single,2472,26092,1,Y,Yes,23,4,1,80,0,1,2,3,1,0,0,0
32,No,Travel_Rarely,1018,Research & Development,3,2,Life Sciences,1,727,3,Female,39,3,3,Research Director,Single,11159,19373,3,Y,No,15,3,4,80,0,10,6,3,7,7,7,7
26,No,Travel_Frequently,921,Research & Development,1,1,Medical,1,1068,1,Female,66,2,1,Research Scientist,Divorced,2007,25265,1,Y,No,13,3,3,80,2,5,5,3,5,3,1,3
40,No,Travel_Rarely,1124,Sales,1,2,Medical,1,453,2,Male,57,1,2,Sales Executive,Married,7457,13273,2,Y,Yes,22,4,3,80,3,6,2,2,4,3,0,2
26,No,Travel_Rarely,482,Research & Development,1,2,Life Sciences,1,1893,2,Female,90,2,1,Research Scientist,Married,2933,14908,1,Y,Yes,13,3,3,80,1,1,3,2,1,0,1,0
27,No,Travel_Frequently,591,Research & Development,2,3,Medical,1,1648,4,Male,87,3,1,Research Scientist,Single,2580,6297,2,Y,No,13,3,3,80,0,6,0,2,4,2,1,2
24,Yes,Travel_Frequently,381,Research & Development,9,3,Medical,1,1494,2,Male,89,3,1,Laboratory Technician,Single,3172,16998,2,Y,Yes,11,3,3,80,0,4,2,2,0,0,0,0
28,No,Travel_Rarely,1423,Research & Development,1,3,Life Sciences,1,1506,1,Male,72,2,1,Research Scientist,Divorced,1563,12530,1,Y,No,14,3,4,80,1,1,2,1,1,0,0,0
41,No,Travel_Rarely,549,Research & Development,7,2,Medical,1,1025,4,Female,42,3,2,Manufacturing Director,Single,5003,23371,6,Y,No,14,3,2,80,0,8,6,3,2,2,2,1
