Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
30,No,Travel_Rarely,1240,Human Resources,9,3,Human Resources,1,184,3,Male,48,3,2,Human Resources,4,6347,13982,0,Y,Yes,19,3,4,80,0,12,2,1,11,9,4,7
49,No,Travel_Frequently,1023,Sales,2,3,Medical,1,2065,4,Male,63,2,2,Sales Executive,2,5390,13243,2,Y,No,14,3,4,80,0,17,3,2,9,6,0,8
34,No,Travel_Rarely,1239,Sales,13,4,Medical,1,1951,4,Male,39,3,3,Sales Executive,3,8628,22914,1,Y,No,18,3,3,80,1,9,2,2,8,7,1,1
35,No,Non-Travel,727,Research & Development,3,3,Life Sciences,1,704,3,child,41,2,1,Laboratory Technician,3,1281,16900,1,Y,No,18,3,3,80,2,1,3,3,1,0,0,0
39,Yes,Travel_Rarely,360,Research & Development,23,3,Medical,1,1310,3,Male,93,3,1,Research Scientist,1,3904,22154,0,Y,No,13,3,1,80,0,6,2,3,5,2,0,3
54,No,Travel_Rarely,155,Research & Development,9,2,Life Sciences,1,1969,1,Female,67,3,2,Research Scientist,3,2897,22474,3,Y,No,11,3,3,80,2,9,6,2,4,3,2,3
21,Yes,Travel_Frequently,756,Sales,1,1,Technical Degree,1,478,1,Female,99,2,1,Sales Representative,2,2174,9150,1,Y,Yes,11,3,3,80,0,3,3,3,3,2,1,2
35,No,Non-Travel,1097,Research & Development,11,2,Medical,1,70,3,Male,79,2,3,Healthcare Representative,1,9884,8302,2,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3
26,No,Travel_Rarely,841,Research & Development,6,3,Other,1,164,3,Female,46,2,1,Research Scientist,2,2368,23300,1,Y,No,19,3,3,80,0,5,3,2,5,4,4,3
25,Yes,Travel_Rarely,1219,Research & Development,4,1,Technical Degree,1,1106,4,Male,32,3,1,Laboratory Technician,4,3691,4605,1,Y,Yes,15,3,2,80,1,7,3,4,7,7,5,6
24,No,Non-Travel,830,Sales,13,2,Life Sciences,1,1495,4,Female,78,3,1,Sales Representative,2,2033,7103,1,Y,No,13,3,3,80,1,1,2,3,1,0,0,0
46,No,Non-Travel,1144,Research & Development,7,4,Medical,1,487,3,Female,30,3,2,Manufacturing Director,3,5258,16044,2,Y,No,14,3,3,80,0,7,2,4,1,0,0,0
25,Yes,Travel_Rarely,688,Research & Development,3,3,Medical,1,538,1,Male,91,3,1,Laboratory Technician,1,4031,9396,5,Y,No,13,3,3,80,1,6,5,3,2,2,0,2
35,No,Travel_Rarely,672,Research & Development,25,3,Technical Degree,1,899,4,Male,78,2,3,Manufacturing Director,2,10903,9129,3,Y,No,16,3,1,80,0,16,2,3,13,10,4,8
31,No,Travel_Frequently,163,Research & Development,24,1,Technical Degree,1,1736,4,Female,30,3,2,Manufacturing Director,4,5238,6670,2,Y,No,20,4,4,80,0,9,3,2,5,4,1,4
34,No,Travel_Rarely,182,Research & Development,1,4,Life Sciences,1,797,2,Female,72,4,1,Research Scientist,4,3280,13551,2,Y,No,16,3,3,80,0,10,2,3,4,2,1,3
20,Yes,Travel_Rarely,1097,Research & Development,11,3,Medical,1,1016,4,Female,98,2,1,Research Scientist,1,2600,18275,1,Y,Yes,15,3,1,80,0,1,2,3,1,0,0,0
28,No,Travel_Rarely,760,Sales,2,4,Marketing,1,846,2,Female,81,3,2,Sales Executive,2,4779,3698,1,Y,Yes,20,4,1,80,0,8,2,3,8,7,7,5
26,No,Travel_Frequently,575,Research & Development,1,2,Life Sciences,1,792,1,Female,71,1,1,Laboratory Technician,4,4364,5288,3,Y,No,14,3,1,80,1,5,2,3,2,2,2,0
37,No,Travel_Frequently,1278,Sales,1,4,Medical,1,1700,3,Male,31,1,2,Sales Executive,4,9525,7677,1,Y,No,14,3,3,80,2,6,2,2,6,3,1,3
28,Yes,Travel_Rarely,890,Research & Development,2,4,Medical,1,828,3,Male,46,3,1,Research Scientist,3,4382,16374,6,Y,No,17,3,4,80,0,5,3,2,2,2,2,1
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21,1,Male,80,4,1,Research Scientist,2,3298,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5
24,No,Travel_Frequently,567,Research & Development,2,1,Technical Degree,1,1646,1,Female,32,3,1,Research Scientist,4,3760,17218,1,Y,Yes,13,3,3,80,0,6,2,3,6,3,1,3
33,Yes,Travel_Rarely,603,Sales,9,4,Marketing,1,1157,1,child,77,3,2,Sales Executive,1,8224,18385,0,Y,Yes,17,3,1,80,0,6,3,3,5,2,0,3
26,No,Travel_Rarely,933,Sales,1,3,Life Sciences,1,476,3,Male,57,3,2,Sales Executive,3,5296,20156,1,Y,No,17,3,2,80,1,8,3,3,8,7,7,7
38,No,Travel_Rarely,437,Sales,16,3,Life Sciences,1,1583,2,child,90,3,2,Sales Executive,2,4198,16379,2,Y,No,12,3,2,80,0,8,5,4,3,2,1,2
44,No,Non-Travel,111,Research & Development,17,3,Life Sciences,1,1206,4,child,74,1,1,Research Scientist,3,2290,4279,2,Y,No,13,3,4,80,0,6,3,3,0,0,0,0
33,No,Travel_Rarely,134,Research & Development,2,3,Life Sciences,1,242,3,Male,90,3,1,Research Scientist,4,2500,10515,0,Y,No,14,3,1,80,0,4,2,4,3,1,0,2
48,No,Travel_Rarely,969,Research & Development,2,2,Technical Degree,1,1258,4,Male,76,4,1,Laboratory Technician,2,2559,16620,5,Y,No,11,3,3,80,0,7,4,2,1,0,0,0
28,No,Travel_Rarely,1451,Research & Development,2,1,Life Sciences,1,1136,1,Male,67,2,1,Research Scientist,2,3201,19911,0,Y,No,17,3,1,80,0,6,2,1,5,3,0,4
36,No,Travel_Frequently,1467,Sales,11,2,Technical Degree,1,154,2,Female,92,3,3,Sales Executive,4,9738,22952,0,Y,No,14,3,3,80,1,10,6,3,9,7,2,8
41,No,Travel_Rarely,427,Human Resources,10,4,Human Resources,1,731,2,child,73,2,5,Manager,4,19141,8861,3,Y,No,15,3,2,80,3,23,2,2,21,6,12,6
58,No,Travel_Rarely,848,Research & Development,23,4,Life Sciences,1,1308,1,Male,88,3,1,Research Scientist,3,2372,26076,1,Y,No,12,3,4,80,2,2,3,3,2,2,2,2
53,No,Travel_Rarely,1223,Research & Development,7,2,Medical,1,1201,4,Female,50,3,5,Manager,3,18606,18640,3,Y,No,18,3,2,80,1,26,6,3,7,7,4,7
38,No,Travel_Rarely,1333,Research & Development,1,3,Technical Degree,1,950,4,Female,80,3,3,Research Director,1,13582,16292,1,Y,No,13,3,2,80,1,15,3,3,15,12,5,11
36,No,Travel_Rarely,1266,Sales,10,4,Technical Degree,1,1880,2,Female,63,2,2,Sales Executive,3,5673,6060,1,Y,Yes,13,3,1,80,1,10,4,3,10,9,1,7
30,No,Travel_Rarely,202,Sales,2,1,Technical Degree,1,508,3,Male,72,3,1,Sales Representative,2,2476,17434,1,Y,No,18,3,1,80,1,1,3,3,1,0,0,0
56,No,Travel_Rarely,832,Research & Development,9,3,Medical,1,762,3,Male,81,3,4,Healthcare Representative,4,11103,20420,7,Y,No,11,3,3,80,0,30,1,2,10,7,1,1
26,Yes,Travel_Rarely,471,Research & Development,24,3,Technical Degree,1,622,3,child,66,1,1,Laboratory Technician,4,2340,23213,1,Y,Yes,18,3,2,80,0,1,3,1,1,0,0,0
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,1,97,2,Female,55,4,1,Laboratory Technician,4,3038,22002,3,Y,No,12,3,2,80,0,5,3,3,1,0,0,0
29,No,Travel_Rarely,1246,Sales,19,3,Life Sciences,1,1497,3,Male,77,2,2,Sales Executive,3,8620,23757,1,Y,No,14,3,3,80,2,10,3,3,10,7,0,4
38,No,Travel_Rarely,1380,Research & Development,9,2,Life Sciences,1,245,3,Female,75,3,1,Laboratory Technician,4,2288,6319,1,Y,No,12,3,3,80,0,2,3,3,2,2,2,1
53,No,Travel_Rarely,102,Research & Development,23,4,Life Sciences,1,901,4,Female,72,3,4,Research Director,4,14275,20206,6,Y,No,18,3,3,80,0,33,0,3,12,9,3,8
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,51,2,child,82,2,1,Research Scientist,1,3419,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0
33,No,Travel_Rarely,267,Research & Development,21,3,Medical,1,1698,2,Male,79,4,1,Laboratory Technician,2,2028,13637,1,Y,No,18,3,4,80,3,14,6,3,14,11,2,13
54,No,Travel_Rarely,431,Research & Development,7,4,Medical,1,1830,4,Female,68,3,2,Research Scientist,4,6854,15696,4,Y,No,15,3,2,80,1,14,2,2,7,1,1,7
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,1,61,2,Male,73,3,1,Research Scientist,2,3022,10227,4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0
38,Yes,Travel_Rarely,903,Research & Development,2,3,Medical,1,1573,3,Male,81,3,2,Manufacturing Director,2,4855,7653,4,Y,No,11,3,1,80,2,7,2,3,5,2,1,4
34,No,Travel_Frequently,1003,Research & Development,2,2,Life Sciences,1,1140,4,Male,95,3,2,Manufacturing Director,3,4033,15834,2,Y,No,11,3,4,80,0,5,3,2,3,2,0,2
44,Yes,Travel_Rarely,1376,Human Resources,1,2,Medical,1,1098,2,Male,91,2,3,Human Resources,1,10482,2326,9,Y,No,14,3,4,80,1,24,1,3,20,6,3,6
26,No,Travel_Rarely,1167,Sales,5,3,Other,1,2060,4,Female,30,2,1,Sales Representative,3,2966,21378,0,Y,No,18,3,4,80,0,5,2,3,4,2,0,0
35,Yes,Travel_Rarely,763,Sales,15,2,Medical,1,1645,1,Male,59,1,2,Sales Executive,4,5440,22098,6,Y,Yes,14,3,4,80,2,7,2,2,2,2,2,2
46,No,Travel_Rarely,228,Sales,3,3,Life Sciences,1,1527,3,Female,51,3,4,Manager,2,16606,11380,8,Y,No,12,3,4,80,1,23,2,4,13,12,5,1
40,No,Travel_Rarely,302,Research & Development,6,3,Life Sciences,1,601,2,Female,75,3,4,Manufacturing Director,3,13237,20364,7,Y,No,15,3,3,80,0,22,3,3,20,6,5,13
38,No,Travel_Rarely,1084,Research & Development,29,3,Technical Degree,1,273,4,Male,54,3,2,Manufacturing Director,4,6261,4185,3,Y,No,18,3,1,80,1,9,3,1,7,7,1,7
54,No,Travel_Rarely,397,Human Resources,19,4,Medical,1,698,3,Male,88,3,3,Human Resources,2,10725,6729,2,Y,No,15,3,3,80,1,16,1,4,9,7,7,1
49,No,Travel_Rarely,527,Research & Development,8,2,Other,1,944,1,Female,51,3,3,Laboratory Technician,2,7403,22477,4,Y,No,11,3,3,80,1,29,3,2,26,9,1,7
32,No,Travel_Rarely,601,Sales,7,5,Marketing,1,1446,4,Male,97,3,2,Sales Executive,4,9204,23343,4,Y,No,12,3,3,80,1,7,3,2,4,3,0,3
45,No,Non-Travel,1238,Research & Development,1,1,Life Sciences,1,1712,3,Male,74,2,3,Healthcare Representative,3,10748,3395,3,Y,No,23,4,4,80,1,25,3,2,23,15,14,4
51,No,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,162,1,Male,51,3,5,Research Director,3,19537,6462,7,Y,No,13,3,3,80,0,23,5,3,20,18,15,15
50,No,Non-Travel,881,Research & Development,2,4,Life Sciences,1,905,1,Male,98,3,4,Manager,1,17924,4544,1,Y,No,11,3,4,80,1,31,3,3,31,6,14,7
36,No,Travel_Rarely,1120,Sales,11,4,Marketing,1,2045,2,Female,100,2,2,Sales Executive,4,6652,14369,4,Y,No,13,3,1,80,1,8,2,2,6,3,0,0
22,No,Travel_Rarely,253,Research & Development,11,3,Medical,1,511,1,Female,43,3,1,Research Scientist,2,2244,24440,1,Y,No,13,3,4,80,1,2,1,3,2,1,1,2
