Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
26,No,Travel_Rarely,482,Research & Development,1,2,Life Sciences,1,1893,2,Female,90,2,1,Research Scientist,3,Married,14908,1,Y,Yes,13,3,3,80,1,1,3,2,1,0,1,0
48,No,Travel_Rarely,1236,Research & Development,1,4,Life Sciences,1,664,4,Female,40,2,4,Manager,1,Married,17997,7,Y,No,11,3,1,80,1,21,3,1,3,2,0,2
33,Yes,Travel_Rarely,350,Sales,5,3,Marketing,1,485,4,Female,34,3,1,Sales Representative,3,Single,9150,1,Y,Yes,13,3,2,80,0,1,2,3,1,0,0,0
22,Yes,Travel_Frequently,1256,Research & Development,3,4,Life Sciences,1,1203,3,Male,48,2,1,Research Scientist,4,Married,4223,0,Y,Yes,11,3,2,80,1,1,5,3,0,0,0,0
22,No,Travel_Rarely,253,Research & Development,11,3,Medical,1,511,1,Female,43,3,1,Research Scientist,2,Married,24440,1,Y,No,13,3,4,80,1,2,1,3,2,1,1,2
55,No,Travel_Rarely,282,Research & Development,2,2,Medical,1,1336,4,Female,58,1,5,Manager,3,Married,6992,4,Y,No,14,3,4,80,1,23,5,3,19,9,9,11
36,No,Travel_Frequently,541,Sales,3,4,Medical,1,481,1,Male,48,2,3,Sales Executive,4,Married,7246,4,Y,No,11,3,1,80,1,16,2,3,13,9,1,12
37,No,Travel_Rarely,1192,Research & Development,5,2,Medical,1,460,4,Male,61,3,2,Manufacturing Director,4,Divorced,23177,7,Y,No,16,3,3,80,2,8,2,2,6,2,0,4
44,No,Travel_Rarely,200,Research & Development,29,4,Other,1,1225,4,Male,32,3,2,Research Scientist,4,Single,7744,1,Y,No,25,4,2,80,0,20,3,3,20,11,13,17
52,No,Travel_Rarely,994,Research & Development,7,4,Life Sciences,1,1118,2,Male,87,3,3,Healthcare Representative,2,Single,15322,7,Y,No,19,3,4,80,0,18,4,3,8,6,4,0
56,No,Travel_Rarely,206,Human Resources,8,4,Life Sciences,1,1338,4,Male,99,3,5,Manager,2,Single,4022,6,Y,No,14,3,1,80,0,36,4,3,7,3,7,7
38,Yes,Travel_Rarely,1180,Research & Development,29,1,Medical,1,282,2,Male,70,3,2,Healthcare Representative,1,Married,11354,7,Y,Yes,19,3,2,80,0,17,2,3,1,0,0,0
23,Yes,Travel_Rarely,1320,Research & Development,8,1,Medical,1,1684,4,child,93,2,1,Laboratory Technician,3,Single,20586,1,Y,Yes,11,3,1,80,0,5,2,3,5,4,1,2
27,No,Travel_Rarely,1167,Research & Development,4,2,Life Sciences,1,1259,1,Male,76,3,1,Research Scientist,3,Divorced,3208,1,Y,No,11,3,2,80,3,5,2,3,5,3,0,3
25,Yes,Travel_Rarely,1219,Research & Development,4,1,Technical Degree,1,1106,4,Male,32,3,1,Laboratory Technician,4,Married,4605,1,Y,Yes,15,3,2,80,1,7,3,4,7,7,5,6
26,No,Travel_Rarely,703,Sales,28,2,Marketing,1,641,1,Male,66,3,2,Sales Executive,2,Married,7428,1,Y,No,20,4,4,80,2,6,5,4,5,3,1,4
