Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
43,No,Travel_Rarely,177,Research & Development,8,3,Life Sciences,1,920,1,55,3,2,Manufacturing Director,2,Divorced,4765,23814,4,Y,No,21,4,3,80,1,4,2,4,1,0,0,0
52,Yes,Travel_Rarely,266,Sales,2,1,Marketing,1,1038,1,57,1,5,Manager,4,Married,19845,25846,1,Y,No,15,3,4,80,1,33,3,3,32,14,6,9
19,Yes,Travel_Rarely,419,Sales,21,3,Other,1,959,4,37,2,1,Sales Representative,2,Single,2121,9947,1,Y,Yes,13,3,2,80,0,1,3,4,1,0,0,0
24,Yes,Travel_Rarely,240,Human Resources,22,1,Human Resources,1,1714,4,58,1,1,Human Resources,3,Married,1555,11585,1,Y,No,11,3,3,80,1,1,2,3,1,0,0,0
34,No,Travel_Rarely,204,Sales,14,3,Technical Degree,1,666,3,31,3,1,Sales Representative,3,Divorced,2579,2912,1,Y,Yes,18,3,4,80,2,8,3,3,8,2,0,6
41,No,Travel_Rarely,465,Research & Development,14,3,Life Sciences,1,227,1,56,3,1,Research Scientist,3,Divorced,2451,4609,4,Y,No,12,3,1,80,1,13,2,3,9,8,1,8
33,Yes,Travel_Rarely,350,Sales,5,3,Marketing,1,485,4,34,3,1,Sales Representative,3,Single,2851,9150,1,Y,Yes,13,3,2,80,0,1,2,3,1,0,0,0
56,No,Travel_Rarely,1443,Sales,11,5,Marketing,1,1935,4,89,2,2,Sales Executive,1,Married,5380,20328,4,Y,No,16,3,3,80,1,6,3,3,0,0,0,0
51,No,Travel_Rarely,1318,Sales,26,4,Marketing,1,851,1,66,3,4,Manager,3,Married,16307,5594,2,Y,No,14,3,3,80,1,29,2,2,20,6,4,17
20,No,Travel_Rarely,654,Sales,21,3,Marketing,1,1226,3,43,4,1,Sales Representative,4,Single,2678,5050,1,Y,No,17,3,4,80,0,2,2,3,2,1,2,2
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,1,76,4,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,Y,No,22,4,4,80,1,10,3,2,7,7,1,7
40,No,Travel_Rarely,1308,Research & Development,14,3,Medical,1,1128,3,44,2,5,Research Director,3,Single,19626,17544,1,Y,No,14,3,1,80,0,21,2,4,20,7,4,9
41,No,Travel_Rarely,796,Sales,4,1,Marketing,1,1815,3,81,3,3,Sales Executive,3,Divorced,10447,26458,0,Y,Yes,13,3,4,80,1,23,3,4,22,14,13,5
56,No,Travel_Rarely,713,Research & Development,8,3,Life Sciences,1,241,3,67,3,1,Research Scientist,1,Divorced,4257,13939,4,Y,Yes,18,3,3,80,1,19,3,3,2,2,2,2
38,No,Travel_Rarely,201,Research & Development,10,3,Medical,1,2015,2,99,1,3,Research Director,3,Married,13206,3376,3,Y,No,12,3,1,80,1,20,3,3,18,16,1,11
29,No,Travel_Frequently,490,Research & Development,10,3,Life Sciences,1,1143,4,61,3,1,Research Scientist,2,Divorced,3291,17940,0,Y,No,14,3,4,80,2,8,2,2,7,5,1,1
31,No,Travel_Rarely,691,Sales,7,3,Marketing,1,438,4,73,3,2,Sales Executive,4,Divorced,7547,7143,4,Y,No,12,3,4,80,3,13,3,3,7,7,1,7
34,No,Travel_Rarely,254,Research & Development,1,2,Life Sciences,1,649,2,83,2,1,Research Scientist,4,Married,3622,22794,1,Y,Yes,13,3,4,80,1,6,3,3,6,5,1,3
34,No,Travel_Rarely,182,Research & Development,1,4,Life Sciences,1,797,2,72,4,1,Research Scientist,4,Single,3280,13551,2,Y,No,16,3,3,80,0,10,2,3,4,2,1,3
29,No,Travel_Frequently,806,Research & Development,1,4,Life Sciences,1,710,2,76,1,1,Research Scientist,4,Divorced,2720,18959,1,Y,No,18,3,4,80,1,10,5,3,10,7,2,8
56,No,Non-Travel,667,Research & Development,1,4,Life Sciences,1,2026,3,57,3,2,Healthcare Representative,3,Divorced,6306,26236,1,Y,No,21,4,1,80,1,13,2,2,13,12,1,9
27,No,Travel_Rarely,1377,Research & Development,11,1,Life Sciences,1,1434,2,91,3,1,Laboratory Technician,1,Married,2099,7679,0,Y,No,14,3,2,80,0,6,3,4,5,0,1,4
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21,1,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5
52,No,Travel_Rarely,319,Research & Development,3,3,Medical,1,543,4,39,2,3,Manufacturing Director,3,Married,7969,19609,2,Y,Yes,14,3,3,80,0,28,4,3,5,4,0,4
32,Yes,Travel_Rarely,414,Sales,2,4,Marketing,1,1862,3,82,2,2,Sales Executive,2,Single,9907,26186,7,Y,Yes,12,3,3,80,0,7,3,2,2,2,2,2
29,No,Travel_Rarely,352,Human Resources,6,1,Medical,1,1865,4,87,2,1,Human Resources,2,Married,2804,15434,1,Y,No,11,3,4,80,0,1,3,3,1,0,0,0
48,No,Travel_Frequently,117,Research & Development,22,3,Medical,1,1900,4,58,3,4,Manager,4,Divorced,17174,2437,3,Y,No,11,3,2,80,1,24,3,3,22,17,4,7
38,No,Travel_Rarely,1321,Sales,1,4,Life Sciences,1,1995,4,86,3,2,Sales Executive,2,Married,4440,7636,0,Y,No,15,3,1,80,2,16,3,3,15,13,5,8
47,Yes,Travel_Frequently,1093,Sales,9,3,Life Sciences,1,1716,3,82,1,4,Sales Executive,3,Married,12936,24164,7,Y,No,11,3,3,80,0,25,3,1,23,5,14,10
25,No,Travel_Rarely,883,Sales,26,1,Medical,1,781,3,32,3,2,Sales Executive,4,Single,6180,22807,1,Y,No,23,4,2,80,0,6,5,2,6,5,1,4
54,No,Travel_Rarely,971,Research & Development,1,3,Medical,1,1422,4,54,3,4,Research Director,4,Single,17328,5652,6,Y,No,19,3,4,80,0,29,3,2,20,7,12,7
35,No,Travel_Rarely,1276,Research & Development,16,3,Life Sciences,1,586,4,72,3,3,Healthcare Representative,3,Married,7632,14295,4,Y,Yes,12,3,3,80,0,10,2,3,8,7,0,0
35,No,Travel_Rarely,1343,Research & Development,27,1,Medical,1,856,3,53,2,1,Research Scientist,1,Single,2559,17852,1,Y,No,11,3,4,80,0,6,3,2,6,5,1,1
33,No,Non-Travel,1038,Sales,8,1,Life Sciences,1,1044,2,88,2,1,Sales Representative,4,Single,2342,21437,0,Y,No,19,3,4,80,0,3,2,2,2,2,2,2
41,Yes,Non-Travel,906,Research & Development,5,2,Life Sciences,1,1210,1,95,2,1,Research Scientist,1,Divorced,2107,20293,6,Y,No,17,3,1,80,1,5,2,1,1,0,0,0
48,No,Travel_Rarely,1469,Research & Development,20,4,Medical,1,945,4,51,3,1,Research Scientist,3,Married,2259,5543,4,Y,No,17,3,1,80,2,13,2,2,0,0,0,0
27,No,Travel_Rarely,1167,Research & Development,4,2,Life Sciences,1,1259,1,76,3,1,Research Scientist,3,Divorced,2517,3208,1,Y,No,11,3,2,80,3,5,2,3,5,3,0,3
54,No,Travel_Rarely,548,Research & Development,8,4,Life Sciences,1,578,3,42,3,2,Laboratory Technician,3,Single,3780,23428,7,Y,No,11,3,3,80,0,19,3,3,1,0,0,0
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,1,46,4,72,4,1,Research Scientist,3,Divorced,2645,21923,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4
27,No,Non-Travel,1277,Research & Development,8,5,Life Sciences,1,1094,1,87,1,1,Laboratory Technician,3,Married,4621,5869,1,Y,No,19,3,4,80,3,3,4,3,3,2,1,2
58,No,Travel_Rarely,1272,Research & Development,5,3,Technical Degree,1,940,3,37,2,3,Healthcare Representative,2,Divorced,10552,9255,2,Y,Yes,13,3,4,80,1,24,3,3,6,0,0,4
30,No,Travel_Rarely,1092,Research & Development,10,3,Medical,1,1816,1,64,3,3,Manufacturing Director,3,Single,9667,2739,9,Y,No,14,3,2,80,0,9,3,3,7,7,0,2
31,Yes,Travel_Frequently,754,Sales,26,4,Marketing,1,1967,1,63,3,2,Sales Executive,4,Married,5617,21075,1,Y,Yes,11,3,3,80,0,10,4,3,10,7,0,8
27,No,Travel_Rarely,954,Sales,9,3,Marketing,1,1965,4,44,3,2,Sales Executive,4,Single,4105,5099,1,Y,No,14,3,1,80,0,7,5,3,7,7,0,7
